Unnamed: 0,Body,Label
1060,"Newest Universal Cable Descrambler Box:  ViewMaster 4000 +
 
*** Watch ALL channels your local cable company offer. *** Fully Tested and Compatible with 98% of US cable network. *** 90 days money back guarantee !!! http://www.freshleadseveryday89.com/descrambler/
---------------------------------------------------------------------------------------------------
To be remove from farther mailing: simply replay to this message.
",1
1061,empty,1
1062,"Hi There,I wanted to spread this good karma to you.This is my true experiance. Six months back my shoe company was going bankrupt in a time of one month. I have no where to turn to. Luckily I met this guy Michael at www.blessing-people.com This is a non-profit web site. He really saved me. He started to chant for mine business without asking for any money when I told him my story. In just 10 days my business turn around. At the end of the month I could pay my monthly loan instalment. Thing steadily stabilized. Immediately I subscribe to his chanting servies. Those money Michael collected are for donation later in every year. I know I must have been creating good karma by subscribing to his prayers services. Now I am hunting for my second shop. Thanks to Michael.I do not have any connection to him. I am just spreading this good karma just to repay what he had did for me. I deeply know what ever he did it's a miracle to me. Even until today all I know was Michael chant for me & many people.. And many miracle happened.I am sorry if this email annoy you. I am not promoting Michael or my business this email can be clearly seen.Please help spread this good karma around. Direct people to Michael. Creat good karma today for you future!Tan E.G.@pls: Click www.blessing-people.com    Go there to feel his energy!!
",1
1063,"Hi There,I wanted to spread this good karma to you.This is my true experiance. Six months back my shoe company was going bankrupt in a time of one month. I have no where to turn to. Luckily I met this guy Michael at www.blessing-people.com This is a non-profit web site. He really saved me. He started to chant for mine business without asking for any money when I told him my story. In just 10 days my business turn around. At the end of the month I could pay my monthly loan instalment. Thing steadily stabilized. Immediately I subscribe to his chanting servies. Those money Michael collected are for donation later in every year. I know I must have been creating good karma by subscribing to his prayers services. Now I am hunting for my second shop. Thanks to Michael.I do not have any connection to him. I am just spreading this good karma just to repay what he had did for me. I deeply know what ever he did it's a miracle to me. Even until today all I know was Michael chant for me & many people.. And many miracle happened.I am sorry if this email annoy you. I am not promoting Michael or my business this email can be clearly seen.Please help spread this good karma around. Direct people to Michael. Creat good karma today for you future!Tan E.G.@pls: Click www.blessing-people.com    Go there to feel his energy!!
",1
1064,"FIND OUT WHO THEY ARE CHATTING/E-MAILING WITH ALL THOSE HOURS!Is your spouse cheating online? Are your kids talking to dangerous people on instant messenger?
   
Find out NOW! - with Big Brother instant software download.
Click on this link NOW to see actual screenshots and to order!
http://213.139.76.142/bigbro/index.asp?Afft=M30To be excluded from future contacts please visit:
http://213.139.76.69/PHP/remove.php
blee
",1
1065,"
.stbtm {
	BACKGROUND-COLOR:#cecbde; BORDER-BOTTOM: #665b8e 1px solid; BORDER-LEFT: #ffffff 1px solid; BORDER-RIGHT: #665b8e 1px solid; BORDER-TOP: #ffffff 1px solid; COLOR: #000000; FONT-SIZE: 12pt; HEIGHT: 26px; WIDTH: 120px; clip:        rect(   )}
.stedit {
	 background-color:#484C68; white-space: nowrap; border: #000000; BORDER-BOTTOM: #ffffff 1px solid; BORDER-LEFT: #ffffff 1px solid; BORDER-RIGHT: #ffffff 1px solid; BORDER-TOP: #ffffff 1px solid; FONT-SIZE: 10pt; color: #CCCCCC; font-weight: bold}
Â 
 Hello,                  I have visited iiu.taint.org and noticed that your website is not listed on some search engines.
                  I am sure that through our service the number of people who visit your website will definitely increase. SeekerCenter 
                  is a unique technology that instantly submits your website 
                  to over 500,000 search engines and directories  
                  -- a really low-cost and effective way to advertise your site. 
                  For more details please go to SeekerCenter.net.                  Give your website maximum exposure today!
                  Looking forward to hearing from you.
Best 
                  Regards,
                  Vanessa Lintner
                  Sales & Marketing 
www.SeekerCenter.net
Â 
Â 
Â 
Â 
Â 
Â 
 ",1
1066,empty,1
1067,"For your safe drive...and keep your safety with PersonalAlcoholDetector..For your safe drive...and keep your safety with Personal Alcohol Detector..Â 
The key technology for the function and performance of 
Personal Alcohol Detector is the gas sensor. Â We  use Advanced MEMS Gas Sensor 
with high accuracy.We are lookng 
for resellers, distributors to represent this product. If you are interested in dealing 
please feel free to contact us.Sincerely Yours,http://www.hyundaitrade.comThis message is in full compliance with U.S. 
Federal requirements for commercial email under bill S.1618 Title lll, Section 
301, Paragraph (a)(2)(C) passed by the 105th U.S. Congress and cannot be 
considered SPAM since it includes a remove mechanism.Â  If you are not interested 
in receiving our e-mails then please reply with a ""remove "" in the subject line.
",1
1068,"
There are more financial opportunities out there than ever
before. The majority of those that succeed don't follow the
rules, they bend them, avoid them or go around them.Freedom 55 is for the suckers. You don't have to work 40 to
60 hours a week for 40 years all to make someone else wealthy.
We have a better way!Are You Interested In creating immediate wealth?
Have you considered improving the Quality of your Life?
Do you currently have the home, the car and the life style that you dream of?
Our business develops 6 Figure Income Earners, quickly and
easily. Let us show you how you can go from just getting by
to earning over $100,000 in your first year of business.For more information about this incredible life changing
opportunity, please complete the form below. The information
is FREE, confidential and you are under no risk or obligations.
Name Â Â 
Address Â Â 
City Â Â 
State Â Â 
 Alabama
 Alaska
 Arizona
 Arkansas
 California
 Colorado
 Connecticut
 Delaware
 Dist of Columbia
 Florida
 Georgia
 Hawaii
 Idaho
 Illinois
 Indiana
 Iowa
 Kansas
 Kentucky
 Louisiana
 Maine
 Maryland
 Massachusetts
 Michigan
 Minnesota
 Mississippi
 Missouri
 Montana
 Nebraska
 Nevada
 New Hampshire
 New Jersey
 New Mexico
 New York
 North Carolina
 North Dakota
 Ohio
 Oklahoma
 Oregon
 Pennsylvania
 Rhode Island
 South Carolina
 South Dakota
 Tennessee
 Texas  Utah
 Vermont
 Virginia
 Washington
 West Virginia
 Wisconsin
 WyomingZip Code Â Â 
Home Phone Â Â 
Time to Contact Â Â 
E-Mail Â Â 
Desired Monthly Income Â Â 
$500
$1000
$2500
$5000+
----------
To receive no further offers from our company regarding
this subject or any other, please reply to this
e-mail with the word 'Remove' in the subject line.vag7pu
",1
1069,empty,1
1070,empty,1
1071,"You are receiving this email because you have expressed an interest in receiving information about online business opportunities. If this is erroneous then please accept my most sincere apology. If you wish to be removed from this list then simply reply to this message and put ""remove"" in the subject line - Thank you.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Greetings! You are receiving this letter because you have expressed an interest in receiving information about online business opportunities. If this is erroneous then please accept my most sincere apology. This is a one-time mailing, so no removal is necessary. If you've been burned, betrayed, and back-stabbed by multi-level marketing, MLM, then please read this letter. It could be the most important one that has ever landed in your Inbox. MULTI-LEVEL MARKETING IS A HUGE MISTAKE FOR MOST PEOPLE MLM has failed to deliver on its promises for the past 50 years. The pursuit of the ""MLM Dream"" has cost hundreds of thousands of people their friends, their fortunes and their sacred honor. The fact is that MLM is fatally flawed, meaning that it CANNOT work for most people. The companies and the few who earn the big money in MLM are NOT going to tell you the real story. FINALLY, there is someone who has the courage to cut through the hype and lies and tell the TRUTH about MLM. HERE'S GOOD NEWS There IS an alternative to MLM that WORKS, and works BIG! If you haven't yet abandoned your dreams, then you need to see this. Earning the kind of income you've dreamed about is easier than you think! With your permission, I'd like to send you a brief letter that will tell you WHY MLM doesn't work for most people and will then introduce you to something so new and refreshing that you'll wonder why you haven't heard of this before. I promise that there will be NO unwanted follow up, NO sales pitch, no one will call you, and your email address will only be used to send you the information. Period. To receive this free, life-changing information, simply click Reply, type ""Send Info"" in the Subject box and hit Send. I'll get the information to you within 24 hours. Just look for the words MLM WALL OF SHAME in your Inbox. Cordially, MajeeP.S. Someone recently sent the letter to me and it has been the most eye-opening, financially beneficial information I have ever received. I honestly believe that you will feel the same way once you've read it. And it's FREE! ",1
1072,"Â 
Increase 
      Your Sales Up to 1500%Â 
**** PAY NO SET-UP OR APPLICATION FEE 
      ****(LIMITED TIME 
      OFFER)
Call 
      (Toll-Free) 1- 888 - 707- 
      4777 with Coupon Code 
      #800 oruse our reply form 
      below for quickest results.Â We specialize 
      in businesses that would most likely be declined by other 
      processors:Retail
Home-Based Businesses
MLM's
Network Marketing
High Volume
Membership Sites
New Businesses
Good or Bad Credit
Adult Web Sites 
Account Features Include:EZ credit - 99% Approval 
        Rate
Secure real-time transactions 
        on your website.Â 
Application Fee of $195.00 & 
        Electronic Check Set-Up Fee of $295.00 WAIVED!!
Terminal and printer or 
        software available!Â 
Equipment purchase or 100% tax 
        deductible EZ pay lease option available!Â 
Discount Rates as low as 
        1.58%!Â 
We pay for every person you 
        refer to us for processing! 
Coupon Code
First and Last 
            Name
Company 
            Name
Phone Number 
            where you can be reached
The best time to 
            call you
Email 
            Address
U.S. State or 
            Canadian Province
Select your 
            CountryUnited States choose
CanadaType of Business 
            (Optional)
 Standard 
              Retail Store 
              Front Establishments Outbound telemarketing
Catalog MO/TO merchants Dating services Airlines Subscriptions Discount Coupon Books
Audiotext House Party Plans Extended liability Home-Based Businesses
Foreign Corporations
Vitamin / Nutrition
Multi-Level 
              Marketers Electronic 
              cash Fulfillment 
              Centers Personals Advertising 
              (internet) Adult 
              Internet Sites Online 
              casino Other chooseMonthly revenue 
            in transactions (Optional) 
This offer only for U.S. residents, or Canadians with a 
      valid SS# and U.S. bank account.
Â To
    be removed from this list.
Under Bill S.1618 TITLE III SECTION 301. Per Section 301,
    Paragraph (a) (2) (C) passed by the 105th US Congress any email or Mass
    Marketing email cannot be considered Spam as long as the sender includes
    contact information and a method of removal. To be removed mailto: removed@removefactory.com
    and put ""Remove"" In the Subject line.To be removed from future mailings, please send a blank email to.qgncmtflpngnodveuomgyo
",1
1073,"Â 
Increase 
      Your Sales Up to 1500%Â 
**** PAY NO SET-UP OR APPLICATION FEE 
      ****(LIMITED TIME 
      OFFER)
Call 
      (Toll-Free) 1- 888 - 707- 
      4777 with Coupon Code 
      #800 oruse our reply form 
      below for quickest results.Â We specialize 
      in businesses that would most likely be declined by other 
      processors:Retail
Home-Based Businesses
MLM's
Network Marketing
High Volume
Membership Sites
New Businesses
Good or Bad Credit
Adult Web Sites 
Account Features Include:EZ credit - 99% Approval 
        Rate
Secure real-time transactions 
        on your website.Â 
Application Fee of $195.00 & 
        Electronic Check Set-Up Fee of $295.00 WAIVED!!
Terminal and printer or 
        software available!Â 
Equipment purchase or 100% tax 
        deductible EZ pay lease option available!Â 
Discount Rates as low as 
        1.58%!Â 
We pay for every person you 
        refer to us for processing! 
Coupon Code
First and Last 
            Name
Company 
            Name
Phone Number 
            where you can be reached
The best time to 
            call you
Email 
            Address
U.S. State or 
            Canadian Province
Select your 
            CountryUnited States choose
CanadaType of Business 
            (Optional)
 Standard 
              Retail Store 
              Front Establishments Outbound telemarketing
Catalog MO/TO merchants Dating services Airlines Subscriptions Discount Coupon Books
Audiotext House Party Plans Extended liability Home-Based Businesses
Foreign Corporations
Vitamin / Nutrition
Multi-Level 
              Marketers Electronic 
              cash Fulfillment 
              Centers Personals Advertising 
              (internet) Adult 
              Internet Sites Online 
              casino Other chooseMonthly revenue 
            in transactions (Optional) 
This offer only for U.S. residents, or Canadians with a 
      valid SS# and U.S. bank account.
Â To
    be removed from this list.
Under Bill S.1618 TITLE III SECTION 301. Per Section 301,
    Paragraph (a) (2) (C) passed by the 105th US Congress any email or Mass
    Marketing email cannot be considered Spam as long as the sender includes
    contact information and a method of removal. To be removed mailto: removed@removefactory.com
    and put ""Remove"" In the Subject line.To be removed from future mailings, please send a blank email to.qgncmtflpngnodveuomgyo
",1
1074,"Â 
Increase 
      Your Sales Up to 1500%Â 
**** PAY NO SET-UP OR APPLICATION FEE 
      ****(LIMITED TIME 
      OFFER)
Call 
      (Toll-Free) 1- 888 - 707- 
      4777 with Coupon Code 
      #800 oruse our reply form 
      below for quickest results.Â We specialize 
      in businesses that would most likely be declined by other 
      processors:Retail
Home-Based Businesses
MLM's
Network Marketing
High Volume
Membership Sites
New Businesses
Good or Bad Credit
Adult Web Sites 
Account Features Include:EZ credit - 99% Approval 
        Rate
Secure real-time transactions 
        on your website.Â 
Application Fee of $195.00 & 
        Electronic Check Set-Up Fee of $295.00 WAIVED!!
Terminal and printer or 
        software available!Â 
Equipment purchase or 100% tax 
        deductible EZ pay lease option available!Â 
Discount Rates as low as 
        1.58%!Â 
We pay for every person you 
        refer to us for processing! 
Coupon Code
First and Last 
            Name
Company 
            Name
Phone Number 
            where you can be reached
The best time to 
            call you
Email 
            Address
U.S. State or 
            Canadian Province
Select your 
            CountryUnited States choose
CanadaType of Business 
            (Optional)
 Standard 
              Retail Store 
              Front Establishments Outbound telemarketing
Catalog MO/TO merchants Dating services Airlines Subscriptions Discount Coupon Books
Audiotext House Party Plans Extended liability Home-Based Businesses
Foreign Corporations
Vitamin / Nutrition
Multi-Level 
              Marketers Electronic 
              cash Fulfillment 
              Centers Personals Advertising 
              (internet) Adult 
              Internet Sites Online 
              casino Other chooseMonthly revenue 
            in transactions (Optional) 
This offer only for U.S. residents, or Canadians with a 
      valid SS# and U.S. bank account.
Â To
    be removed from this list.
Under Bill S.1618 TITLE III SECTION 301. Per Section 301,
    Paragraph (a) (2) (C) passed by the 105th US Congress any email or Mass
    Marketing email cannot be considered Spam as long as the sender includes
    contact information and a method of removal. To be removed mailto: removed@removefactory.com
    and put ""Remove"" In the Subject line.To be removed from future mailings, please send a blank email to.vroepvkbimstotvtob
",1
1075,empty,1
1076,empty,1
1077,"
Â               Â IRS TAX 
              PROBLEMS?              Â 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
              
Â Â Â  
It's Time toÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
              EliminateÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  
              your IRS tax problemsÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â  
              NOW!              Â 
Â Â  
              Let Our Qualified People HELP You              Â               We Can Settle Your Back Taxes For PENNIES On The Dollar              Â Respond 
                now and one of our Debt Pros will get back to you within 48 
                hours.CLICK HERE!
If You wish to be removed from future mailings please ""Clicking 
Here"" . 
Â 
",1
1078,"MCLE Seminars
Click 
            here 
            to be removed from our email list. You can also send an email or call us toll-free at (800) 456-6060
July 
              6-7 , 2002
              Cost: $795*
              Held at the HILTON Waikola Village, Hawaii
 
              Register and pay by June 7 and recieve 10% off! ($715.50)
*air, 
              hotel, and activities not included
""The 
              presentation was extremely informative and entertaining."" 
 
""Fun 
              for the whole family... A great reason to take a vacation!""
**** 
            Limited Space Available 
            ****Hours
Includes 
                        12.5 hours of participatory:
6.0
 
                        Ethics
3.0
Substance 
                        Abuse
1.5
Emotional 
                        Distress
1.0
Elimination 
                        of Bias in the Legal Profession
1.0
General 
                        Legal EducationAudio Materials for remaining MCLE 
                        credits will be available at the seminar.
Brought 
                    to you by:
Â 
Bar 
                          Approved Curriculum
Approved 
                          by Arizona, Arkansas, California, Georgia, Idaho, Iowa, 
                          Kansas, Louisiana, Maine, Missouri, Montana, Nevada, 
                          New Hampshire, New Mexico, North Carolina, North Dakota, 
                          Oregon, Pennsylvania, South Carolina, Tennesee, Texas, 
                          Utah, Virginia, Washington State, and Wisconsin Bar 
                          Associations. Approval pending for Alabama and Minnesota.Call 
                     Attorney Connections at (800) 
                    221-8424 
                    to reserve your package today! 
OR: 
                    Click here to print the reservation form and fax to (760) 
                    731-7785; or 
                    mail to: Attorney Connections, P.O. Box 1533, Bonsall, CA 
                    92003",1
1079,empty,1
1080,"As seen on NBC, CBS, CNN, and even Oprah! The health discovery that actuallyreverses aging while burning fat, without dieting or exercise! This provendiscovery has even been reported on by the New England Journal of Medicine.Forget aging and dieting forever! And it's Guaranteed! Click below to enter our web site:
http://www.freehostchina.com/washgh/Would you like to lose weight while you sleep!
No dieting!
No hunger pains!
No Cravings!
No strenuous exercise!
Change your life forever! 100% GUARANTEED!1.Body Fat Loss 82% improvement.
2.Wrinkle Reduction 61% improvement.
3.Energy Level 84% improvement.
4.Muscle Strength 88% improvement.
5.Sexual Potency 75% improvement.
6.Emotional Stability 67% improvement.
7.Memory 62% improvement.Click below to enter our web site:
http://www.freehostchina.com/washgh/
**************************************************
If you want to get removed
from our list please email at- standardoptout@x263.net (subject=remove ""your email"")
**************************************************
",1
1081,"
Â You can't predict the future, but you can always prepare for it.Â               DOUBLE               Your Life Insurance Policy For 
              NO EXTRA COST!              Â Compare rates from top insurance companies around the country
In our life and times, it's important to plan for your family's future, while 
being comfortable financially. Choose the right Life Insurance policy today.Â 
You'll be able to compare rates and get a
Free Application
in less than a 
minute!
COMPARE YOUR COVERAGE$250,000
              as low as$6.50
per month
Â $500,000
              as low as              $9.50
              per month
Â $1,000,000
              as low as              $15.50
              per month
Â Get your
FREE
instant quotes... Compare the lowest prices, then...
                  
Select a company and Apply Online.
                  DON'T 
              MISS THIS!! GET YOUR FREE INSTANT QUOTE               CLICK FOR YOUR FREE QUOTE, NOW!              Â 
(Smoker rates also available)              Â 
MakeÂ Â Â Â  
              Insurance Companies Compete For Your Insurance.
Â 
We Have 
            Eliminated The Long Process Of Finding The Best Rate By Giving You 
            Access To Multiple Insurance Companies All At Once.Apply 
                now and one of our Insurance Brokers will get back to you within 
                48 hours.CLICK HERE!If You wish to be removed from future mailings please ""Clicking 
Here"" . 
Â 
",1
